xflr5 v6.39

Plane name :, NACA 5-12-20
Polar name :, T1-277.9 m/s-VLM1-proj_area
Freestream speed :, 277.9 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.086806,   0.000199,   0.007349,   0.007548,   0.000000,  -0.000000,   0.014944,   0.000000,  -0.000000,  277.8900,    0.0179
   -1.500,     0.000,  -0.041225,   0.000045,   0.007282,   0.007327,   0.000000,  -0.000000,  -0.001358,  -0.000000,  -0.000000,  277.8900,   -0.0032
   -1.000,     0.000,   0.004363,   0.000001,   0.007259,   0.007260,   0.000000,  -0.000000,  -0.017675,  -0.000000,  -0.000000,  277.8900,    0.4179
   -0.500,     0.000,   0.049953,   0.000068,   0.007265,   0.007333,   0.000000,  -0.000000,  -0.034004,  -0.000000,  -0.000000,  277.8900,    0.0703
    0.000,     0.000,   0.095538,   0.000245,   0.007140,   0.007385,   0.000000,  -0.000000,  -0.050339,  -0.000000,  -0.000000,  277.8900,    0.0545
    0.500,     0.000,   0.141112,   0.000532,   0.006855,   0.007387,   0.000000,  -0.000000,  -0.066675,   0.000000,  -0.000000,  277.8900,    0.0488
    1.000,     0.000,   0.186668,   0.000929,   0.006643,   0.007571,   0.000000,  -0.000000,  -0.083009,   0.000000,  -0.000000,  277.8900,    0.0460
    1.500,     0.000,   0.232200,   0.001436,   0.006663,   0.008099,   0.000000,  -0.000000,  -0.099333,   0.000000,  -0.000000,  277.8900,    0.0442
    2.000,     0.000,   0.277702,   0.002052,   0.006769,   0.008821,   0.000000,  -0.000000,  -0.115641,   0.000000,   0.000000,  277.8900,    0.0431
    2.500,     0.000,   0.323167,   0.002778,   0.006902,   0.009680,   0.000000,  -0.000000,  -0.131929,   0.000000,  -0.000000,  277.8900,    0.0422
    3.000,     0.000,   0.368589,   0.003612,   0.007036,   0.010647,   0.000000,  -0.000000,  -0.148193,   0.000000,  -0.000000,  277.8900,    0.0416
    3.500,     0.000,   0.413963,   0.004554,   0.007171,   0.011725,   0.000000,  -0.000000,  -0.164426,   0.000000,   0.000000,  277.8900,    0.0411
    4.000,     0.000,   0.459280,   0.005603,   0.007307,   0.012911,   0.000000,  -0.000000,  -0.180624,   0.000000,   0.000000,  277.8900,    0.0407
    4.500,     0.000,   0.504536,   0.006759,   0.007444,   0.014203,   0.000000,  -0.000000,  -0.196783,   0.000000,   0.000000,  277.8900,    0.0404
    5.000,     0.000,   0.549723,   0.008021,   0.007590,   0.015611,   0.000000,  -0.000000,  -0.212896,   0.000000,   0.000000,  277.8900,    0.0401
    5.500,     0.000,   0.594837,   0.009388,   0.007737,   0.017125,   0.000000,  -0.000000,  -0.228960,   0.000000,  -0.000000,  277.8900,    0.0399
    6.000,     0.000,   0.639870,   0.010858,   0.007901,   0.018759,   0.000000,  -0.000000,  -0.244969,   0.000000,   0.000000,  277.8900,    0.0397
    6.500,     0.000,   0.684816,   0.012431,   0.008066,   0.020498,   0.000000,  -0.000000,  -0.260917,   0.000000,   0.000000,  277.8900,    0.0396
    7.000,     0.000,   0.729670,   0.014106,   0.008255,   0.022361,   0.000000,  -0.000000,  -0.276801,   0.000000,   0.000000,  277.8900,    0.0394
    7.500,     0.000,   0.774425,   0.015882,   0.008453,   0.024335,   0.000000,  -0.000000,  -0.292614,   0.000000,  -0.000000,  277.8900,    0.0393
    8.000,     0.000,   0.819075,   0.017756,   0.008656,   0.026412,   0.000000,  -0.000000,  -0.308353,   0.000000,  -0.000000,  277.8900,    0.0392
    8.500,     0.000,   0.863614,   0.019728,   0.008900,   0.028628,   0.000000,  -0.000000,  -0.324010,   0.000000,   0.000000,  277.8900,    0.0391
    9.000,     0.000,   0.908036,   0.021797,   0.009153,   0.030950,   0.000000,  -0.000000,  -0.339583,   0.000000,   0.000000,  277.8900,    0.0390
    9.500,     0.000,   0.952336,   0.023960,   0.009440,   0.033401,   0.000000,  -0.000000,  -0.355065,   0.000000,   0.000000,  277.8900,    0.0389
   10.000,     0.000,   0.996507,   0.026217,   0.009804,   0.036021,   0.000000,  -0.000000,  -0.370447,   0.000000,   0.000000,  277.8900,    0.0389
   10.500,     0.000,   1.040543,   0.028565,   0.010254,   0.038818,   0.000000,  -0.000000,  -0.385725,   0.000000,   0.000000,  277.8900,    0.0388
   11.000,     0.000,   1.084440,   0.031002,   0.010804,   0.041807,   0.000000,  -0.000000,  -0.400892,   0.000000,   0.000000,  277.8900,    0.0388
   11.500,     0.000,   1.128190,   0.033528,   0.011387,   0.044915,   0.000000,  -0.000000,  -0.415947,   0.000000,  -0.000000,  277.8900,    0.0387
   12.000,     0.000,   1.171789,   0.036140,   0.011977,   0.048117,   0.000000,  -0.000000,  -0.430887,  -0.000000,   0.000000,  277.8900,    0.0387
   12.500,     0.000,   1.215230,   0.038836,   0.012604,   0.051439,   0.000000,  -0.000000,  -0.445705,  -0.000000,  -0.000000,  277.8900,    0.0387
   13.000,     0.000,   1.258509,   0.041613,   0.013312,   0.054925,   0.000000,  -0.000000,  -0.460393,  -0.000000,   0.000000,  277.8900,    0.0386
   13.500,     0.000,   1.301619,   0.044471,   0.014088,   0.058559,   0.000000,  -0.000000,  -0.474946,  -0.000000,   0.000000,  277.8900,    0.0386


