xflr5 v6.39

Plane name :, NACA 0018-09
Polar name :, T1-286.6 m/s-VLM1-proj_area
Freestream speed :, 286.6 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.000,     0.000,  -0.307047,   0.004860,   0.006054,   0.010914,  -0.000000,   0.000000,   0.091073,   0.000000,  -0.000000,  286.6400,    0.0392
   -3.500,     0.000,  -0.268826,   0.003725,   0.005893,   0.009618,   0.000000,   0.000000,   0.079721,   0.000000,   0.000000,  286.6400,    0.0392
   -3.000,     0.000,  -0.230557,   0.002740,   0.005757,   0.008498,   0.000000,   0.000000,   0.068342,   0.000000,   0.000000,  286.6400,    0.0391
   -2.500,     0.000,  -0.192246,   0.001905,   0.005647,   0.007552,   0.000000,   0.000000,   0.056942,   0.000000,   0.000000,  286.6400,    0.0391
   -2.000,     0.000,  -0.153901,   0.001221,   0.005558,   0.006779,   0.000000,   0.000000,   0.045524,   0.000000,   0.000000,  286.6400,    0.0390
   -1.500,     0.000,  -0.115528,   0.000688,   0.005493,   0.006181,   0.000000,   0.000000,   0.034091,   0.000000,   0.000000,  286.6400,    0.0389
   -1.000,     0.000,  -0.077135,   0.000307,   0.005450,   0.005757,   0.000000,   0.000000,   0.022647,   0.000000,   0.000000,  286.6400,    0.0387
   -0.500,     0.000,  -0.038727,   0.000077,   0.005423,   0.005500,   0.000000,   0.000000,   0.011196,   0.000000,   0.000000,  286.6400,    0.0381
    0.000,     0.000,  -0.000313,   0.000000,   0.005410,   0.005410,   0.000000,   0.000000,  -0.000258,   0.000000,  -0.000000,  286.6400,   -0.1100
    0.500,     0.000,   0.038102,   0.000075,   0.005424,   0.005499,   0.000000,  -0.000000,  -0.011712,   0.000000,   0.000000,  286.6400,    0.0405
    1.000,     0.000,   0.076509,   0.000302,   0.005451,   0.005753,   0.000000,  -0.000000,  -0.023163,   0.000000,  -0.000000,  286.6400,    0.0399
    1.500,     0.000,   0.114903,   0.000681,   0.005493,   0.006174,   0.000000,  -0.000000,  -0.034606,   0.000000,   0.000000,  286.6400,    0.0397
    2.000,     0.000,   0.153276,   0.001211,   0.005557,   0.006769,   0.000000,  -0.000000,  -0.046038,   0.000000,  -0.000000,  286.6400,    0.0396
    2.500,     0.000,   0.191621,   0.001893,   0.005645,   0.007538,  -0.000000,  -0.000000,  -0.057455,   0.000000,   0.000000,  286.6400,    0.0396
    3.000,     0.000,   0.229932,   0.002726,   0.005755,   0.008481,   0.000000,  -0.000000,  -0.068854,   0.000000,   0.000000,  286.6400,    0.0395
    3.500,     0.000,   0.268202,   0.003708,   0.005890,   0.009598,  -0.000000,  -0.000000,  -0.080231,   0.000000,   0.000000,  286.6400,    0.0395
    4.000,     0.000,   0.306424,   0.004840,   0.006050,   0.010890,   0.000000,  -0.000000,  -0.091582,   0.000000,  -0.000000,  286.6400,    0.0395
    4.500,     0.000,   0.344590,   0.006121,   0.006227,   0.012348,  -0.000000,  -0.000000,  -0.102904,   0.000000,   0.000000,  286.6400,    0.0395
    5.000,     0.000,   0.382695,   0.007549,   0.006409,   0.013958,   0.000000,  -0.000000,  -0.114194,   0.000000,  -0.000000,  286.6400,    0.0395
    5.500,     0.000,   0.420732,   0.009123,   0.006594,   0.015716,   0.000000,  -0.000000,  -0.125448,   0.000000,  -0.000000,  286.6400,    0.0395
    6.000,     0.000,   0.458693,   0.010843,   0.006778,   0.017621,   0.000000,  -0.000000,  -0.136662,   0.000000,   0.000000,  286.6400,    0.0395
    6.500,     0.000,   0.496572,   0.012706,   0.006967,   0.019673,   0.000000,  -0.000000,  -0.147833,   0.000000,   0.000000,  286.6400,    0.0395
    7.000,     0.000,   0.534363,   0.014712,   0.007159,   0.021871,   0.000000,  -0.000000,  -0.158959,   0.000000,  -0.000000,  286.6400,    0.0395
    7.500,     0.000,   0.572058,   0.016859,   0.007357,   0.024216,   0.000000,  -0.000000,  -0.170034,   0.000000,   0.000000,  286.6400,    0.0395
    8.000,     0.000,   0.609652,   0.019145,   0.007565,   0.026710,   0.000000,  -0.000000,  -0.181056,   0.000000,   0.000000,  286.6400,    0.0395
    8.500,     0.000,   0.647137,   0.021569,   0.007781,   0.029350,   0.000000,  -0.000000,  -0.192022,   0.000000,   0.000000,  286.6400,    0.0396
    9.000,     0.000,   0.684508,   0.024128,   0.008018,   0.032147,   0.000000,  -0.000000,  -0.202927,   0.000000,   0.000000,  286.6400,    0.0396
    9.500,     0.000,   0.721757,   0.026822,   0.008267,   0.035089,   0.000000,   0.000000,  -0.213767,   0.000000,  -0.000000,  286.6400,    0.0396
   10.000,     0.000,   0.758879,   0.029647,   0.008543,   0.038189,   0.000000,  -0.000000,  -0.224540,   0.000000,   0.000000,  286.6400,    0.0396
   10.500,     0.000,   0.795867,   0.032601,   0.008840,   0.041441,   0.000000,   0.000000,  -0.235242,   0.000000,  -0.000000,  286.6400,    0.0397
   11.000,     0.000,   0.832715,   0.035683,   0.009134,   0.044817,   0.000000,  -0.000000,  -0.245871,   0.000000,  -0.000000,  286.6400,    0.0397
   11.500,     0.000,   0.869416,   0.038889,   0.009470,   0.048360,   0.000000,  -0.000000,  -0.256420,  -0.000000,  -0.000000,  286.6400,    0.0397
   12.000,     0.000,   0.905966,   0.042219,   0.009814,   0.052032,   0.000000,  -0.000000,  -0.266889,  -0.000000,   0.000000,  286.6400,    0.0397
   12.500,     0.000,   0.942356,   0.045668,   0.010165,   0.055833,   0.000000,  -0.000000,  -0.277274,  -0.000000,   0.000000,  286.6400,    0.0398
   13.000,     0.000,   0.978583,   0.049234,   0.010547,   0.059781,   0.000000,  -0.000000,  -0.287571,  -0.000000,   0.000000,  286.6400,    0.0398
   13.500,     0.000,   1.014639,   0.052915,   0.010981,   0.063896,   0.000000,  -0.000000,  -0.297773,  -0.000000,   0.000000,  286.6400,    0.0398
   14.000,     0.000,   1.050519,   0.056707,   0.011412,   0.068119,   0.000000,  -0.000000,  -0.307884,  -0.000000,  -0.000000,  286.6400,    0.0399
   14.500,     0.000,   1.086217,   0.060608,   0.011845,   0.072454,  -0.000000,  -0.000000,  -0.317897,  -0.000000,   0.000000,  286.6400,    0.0399
   15.000,     0.000,   1.121728,   0.064615,   0.012295,   0.076911,   0.000000,  -0.000000,  -0.327810,  -0.000000,   0.000000,  286.6400,    0.0399
   15.500,     0.000,   1.157046,   0.068725,   0.012760,   0.081485,   0.000000,  -0.000000,  -0.337619,  -0.000000,   0.000000,  286.6400,    0.0400
   16.000,     0.000,   1.192165,   0.072935,   0.013292,   0.086226,   0.000000,  -0.000000,  -0.347318,  -0.000000,  -0.000000,  286.6400,    0.0400
   16.500,     0.000,   1.227080,   0.077240,   0.013873,   0.091113,   0.000000,  -0.000000,  -0.356903,  -0.000000,  -0.000000,  286.6400,    0.0401
   17.000,     0.000,   1.261787,   0.081639,   0.014510,   0.096149,   0.000000,  -0.000000,  -0.366371,  -0.000000,   0.000000,  286.6400,    0.0401
   17.500,     0.000,   1.296279,   0.086127,   0.015223,   0.101349,   0.000000,  -0.000000,  -0.375717,  -0.000000,   0.000000,  286.6400,    0.0402
   18.000,     0.000,   1.330551,   0.090701,   0.015995,   0.106696,   0.000000,  -0.000000,  -0.384938,  -0.000000,  -0.000000,  286.6400,    0.0402
   18.500,     0.000,   1.364599,   0.095358,   0.016896,   0.112254,  -0.000000,   0.000000,  -0.394026,  -0.000000,  -0.000000,  286.6400,    0.0403
   19.000,     0.000,   1.398418,   0.100093,   0.017945,   0.118038,   0.000000,  -0.000000,  -0.402974,  -0.000000,  -0.000000,  286.6400,    0.0403


